"format","size"
"jpg",0.78
"doc",0.15
"doc",0.19
"jpg",0.01
"mp3",9.23
"mp3",4.54
"jpg",0.07
"doc",0.18
"jpg",0.38
"doc",0.28
"doc",0.1
"jpg",0.07
"doc",0.03
"jpg",0.03
"jpg",0.07
"doc",0.28
"mp3",9.24
"jpg",0.13
"jpg",0.49
"jpg",0.89
"doc",0.34
"jpg",0.01
"doc",0.21
"jpg",1.01
"jpg",0.22
"jpg",0.37
"jpg",0.87
"jpg",0.25
"mp3",0.7
"jpg",0.27
"jpg",0.32
"jpg",0.25
"doc",0.14
"doc",0.18
"jpg",0.13
"doc",0.13
"doc",0.18
"jpg",0.12
"doc",0.56
"jpg",0.14
"mp3",0.11
"jpg",0.06
"jpg",0.01
"jpg",0.03
"mp3",2.09
"doc",0.1
"mp3",13.46
"jpg",0.09
"jpg",0.09
"doc",0.19
"jpg",0.1
"jpg",0.1
"doc",0.11
"mp3",0.65
"jpg",0
"doc",0.18
"doc",0.09
"mp3",3.44
"doc",0.04
"doc",0.03
"doc",0.05
"doc",0.19
"doc",0.39
"jpg",0.03
"doc",0.07
"jpg",0.13
"jpg",0.35
"jpg",0.13
"jpg",0.08
"jpg",0
"jpg",0.02
"jpg",0.33
"jpg",0.35
"jpg",0.18
"jpg",0.02
"doc",0.05
"jpg",0.32
"doc",0.04
"jpg",0.23
"doc",0.14
"jpg",0.34
"doc",0.38
"jpg",0.85
"jpg",0.62
"jpg",0
"doc",0.01
"mp3",19.37
"jpg",0.19
"doc",0.01
"jpg",0.24
"mp3",7.84
"jpg",0.57
"jpg",0.24
"doc",0.09
"jpg",0.18
"jpg",0.02
"jpg",0.08
"jpg",0.12
"jpg",0.48
"jpg",0.24
"jpg",0.27
"jpg",0.07
"mp3",3.01
"doc",0.19
"jpg",1.15
"doc",0.41
"mp3",10.91
"jpg",0.04
"jpg",0.13
"jpg",0.54
"jpg",0.31
"doc",0.07
"jpg",1.46
"doc",0.21
"doc",0.24
"doc",0.33
"doc",0.09
"jpg",0.11
"mp3",5.22
"doc",0.42
"jpg",0.37
"jpg",1.02
"mp3",9.09
"doc",0.12
"jpg",0.05
"doc",0.07
"doc",0.66
"jpg",0.05
"doc",0.15
"jpg",0.4
"jpg",0.38
"mp3",0.35
"jpg",0.24
"mp3",2.53
"jpg",1.28
"doc",0.14
"doc",0.52
"doc",0.1
"jpg",0.43
"jpg",1.26
"jpg",0.91
"jpg",0.17
"doc",0.12
"jpg",0.19
"jpg",0.08
"doc",0.06
"doc",0.04
"jpg",0.02
"jpg",0.2
"jpg",0.18
"jpg",0.04
"jpg",0.1
"mp3",7.22
"jpg",0.05
"doc",0.05
"jpg",0.22
"doc",0.09
"jpg",0.05
"jpg",0.56
"jpg",0.04
"doc",0.15
"mp3",4.16
"jpg",0.36
"doc",0.13
"jpg",0.25
"doc",0.22
"jpg",0.38
"mp3",5.53
"jpg",0.39
"doc",0.18
"mp3",2.79
"jpg",0.26
"jpg",0
"mp3",4.4
"jpg",0.09
"doc",0.08
"jpg",0.11
"jpg",0.19
"doc",0.05
"doc",0.12
"mp3",5.65
"doc",0.4
"mp3",6.86
"doc",0.02
"jpg",0.24
"doc",0.39
"jpg",0.15
"doc",0.08
"jpg",0.74
"jpg",0.66
"jpg",0.44
"jpg",0.16
"mp3",1.36
"jpg",0.3
"jpg",0.07
"jpg",0.18
"jpg",0.19
"jpg",0.02
"jpg",0.21
"jpg",0.16
"doc",0.18
"doc",0.07
"doc",0.18
"mp3",2.53
"jpg",0.17
"doc",0.04
"jpg",0.08
"jpg",0.16
"jpg",0.01
"jpg",0.26
"mp3",16.94
"jpg",0.03
"doc",0.56
"doc",0.28
"mp3",8.29
"jpg",0.86
"jpg",0.23
"jpg",0.01
"jpg",0.21
"jpg",0.24
"jpg",0.95
"mp3",27.59
"jpg",0.17
"jpg",0.26
"doc",0.06
"doc",0.43
"mp3",0.4
"jpg",0.02
"doc",0.39
"doc",0.25
"doc",0.02
"jpg",0.03
"mp3",15.18
"doc",0.05
"doc",0.25
"jpg",0.13
"doc",0.13
"jpg",0.01
"jpg",0.2
"jpg",0.55
"mp3",4.58
"jpg",0.33
"doc",0.02
