"Exam","HW1","HW2","HW3","HW4","HW5","Quiz1","Quiz2","Quiz3","Quiz4"
12,25,52,83,25,7,23,56,59,12
21,52,12,11,91,42,12,90,47,21
98,68,96,42,69,94,39,84,71,98
71,14,76,58,62,5,44,12,60,71
36,70,13,99,12,30,97,75,14,36
35,96,94,12,61,18,43,86,65,35
21,83,39,33,14,9,51,20,5,21
33,12,5,48,100,33,67,6,51,33
75,24,99,83,88,79,58,36,37,75
49,75,77,100,8,34,14,5,78,49
15,31,70,90,44,50,48,96,58,15
27,35,73,92,54,43,79,45,45,27
2,92,8,44,74,56,68,67,41,2
38,27,94,29,42,60,19,54,23,38
92,43,98,21,95,74,27,21,18,92
